0x600000	    Ayra! Ayra, I`ll be alright! Don`t give in to these guys! Don`t let `em boss you around! Shanan...
0x60007f	     Raquesis, I`m leaving for Agusty. I can`t rest until I`ve convinced King Chagall to end his foolish warmongering. Please don`t do it, brother!
0x60012b	  The end is in sight. All units, close in! 
0x600167	 
0x60016b	 Ready? Draw, Alec!
0x600188	 
0x60018c	 Heh. You`re pretty good, but it`s still not enough!
0x6001ca	 
0x6001ce	 What is it?! Something`s going on with you and Lewyn, isn`t it...
0x60021a	 
0x60021e	 I... No, I... There isn`t...
0x600245	 
0x600249	 Lewyn, you pig! Why? Why her?!
0x600272	 
0x600276	 W-whoa! Calm down, Sylvia! You`re gonna hurt somebody with that thing!
0x6002c7	 
0x6002cb	 I won`t lose this one, Larcei! I`ll show you what my training has done for me!
0x600324	 
0x600328	 Hah! Poor Ulster. It looks like you`ve just gone and worn out your arms! 
0x60037c	 
0x600380	 C`mon, Shanan! I`ll get you this time!
0x6003b1	 
0x6003b5	 Heh... Your sword arm`s improving for sure, but you`ve still got a long way to go.
0x600412	 
0x600416	 Hold on a moment, Sir Johan. ...Listen, I know you try to act unbreakable and all, but...
0x60047a	 
0x60047e	 ...
0x60048c	 
0x600490	 Nngh... What? You`ve sealed my magic?!
0x6004c1	 
0x6004c5	 Please, Azel. You need to be careful...
0x6004f7	 
0x6004fb	 Eldigan, stop! We`ve no reason to fight!
0x60052e	 
0x600532	 Eldie, you lackwit! If you insist on fighting, then come on! Let`s see  your sword`s idea of love!
0x60059f	 
0x6005a3	 Nngh... I... I`ve failed you all...
0x6005d1	 
0x6005d5	 Come at me, Ayra! See how mighty I am!
0x600606	 
0x60060a	 Heh...
0x60061b	 
0x60061f	 I hope you`re watching, Father... I did it... I`ve avenged you at last...
0x600673	 
0x600677	 You mustn`t push yourself too hard, Tinni!
0x6006ac	 
0x6006b0	 Hey, Mister Claude! This one`s for you!
0x6006e2	 
0x6006e6	 How `bout that? Feelin` any stronger?
0x600716	 
0x60071a	 I hope you`re watching, Ares! This last dance`s for you...
0x60075f	 
0x600763	 Please, dear... Do be careful...
0x60078e	 
0x600792	 I hope Patty`s doing okay...
0x6007b9	 
0x6007bd	 Ahaha! Got your coin purse!
0x6007e3	 
0x6007e7	 Damn... I... not now...
0x600809	 
